Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240712070008,0,1001.09,30.41,99.79,3794.58,3.17
20240712071008,0,1001.04,30.63,97.8,3912.08,3.46
20240712072008,0,1000.96,30.88,94.23,4127.83,3.97
20240712073008,0,1000.85,31.24,92.04,4437.08,4.65
20240712074008,0,1000.78,31.7,90.95,4792.67,5.46
20240712075008,0,1000.67,32.13,89.61,5095.58,6.32
20240712080008,0,1000.72,32.46,87.71,5662.75,7.79
20240712081008,0,1000.83,32.31,87.97,5711.83,8.39
20240712082008,0,1000.9,32.45,87.7,5643.58,8.21
20240712083008,0,1000.89,32.85,85.23,5599.75,8.32
20240712084008,0,1000.83,32.91,84.07,5694.5,8.51
20240712085008,0,1000.76,33.12,84.27,5733.25,8.74
20240712090008,0,1000.69,33.33,84.09,6064.75,9.79
20240712091008,0,1000.58,33.37,84.1,6038,9.4
20240712092008,0,1000.46,33.63,83.01,6486.33,11.04
20240712093008,0,1000.39,33.93,82.16,7047.42,12.97
20240712094008,0,1000.33,34.12,80.93,7842.67,15.78
20240712095008,0,1000.35,34.38,79.64,9380.08,22.02
20240712100008,0,1000.38,34.71,79.42,9858.5,24.52
20240712101008,0,1000.37,34.78,78.74,9258.17,21.65
20240712102008,0,1000.31,34.75,78.13,9219.58,21.49
20240712103008,0,1000.15,34.89,77.1,9450.42,22.17
20240712104008,0,1000.18,35.19,75.71,10748.75,29.12
20240712105008,0,1000.19,35.34,74.48,10130.52,25.75
20240712110008,0,1000.11,35.45,72.99,10308.33,25.77
20240712111008,0,1000.01,35.38,71.94,10398.42,25.57
20240712112008,0,999.98,35.2,71.42,10116.5,24.19
20240712113008,0,999.89,35.35,69.59,10183.5,24.18
20240712114008,0,999.81,35.59,67.56,10398,25.46
20240712115008,0,999.72,35.62,67.62,10086.08,24.06
20240712120008,0,999.65,35.6,66.85,9461.67,22.22
20240712121008,0,999.66,36.03,65.18,9593,206.67
20240712122008,0,999.58,37.94,58.92,9998,1337.97
20240712123008,0,999.48,41.24,48.4,43238,1065.36
20240712124008,0,999.52,43.76,40.92,74138.34,1188.73
20240712125008,0,999.48,45.77,36.7,75192.21,1187.91
20240712130008,0,999.46,46.37,35.07,82052.32,1351.16
20240712131008,0,999.44,48.26,31.51,88774.25,1475.34
20240712132008,0,999.38,48.24,30.83,78706.72,1285.35
20240712133008,0,999.44,47.04,32.33,70646.48,1103.99
20240712134008,0,999.42,46.23,33.39,65308.68,940.68
20240712135008,0,999.42,46.79,32.21,74265.2,1154.08
20240712140008,0,999.38,48.7,29.71,69755.23,1050.46
20240712141008,0,999.39,48.16,30.36,55677.97,728.64
20240712142008,0,999.38,46.76,32.05,54984.1,858.61
20240712143008,0,999.32,47.51,30.91,23958.56,352.34
20240712144008,0,999.19,41.17,41.46,9905.92,23.29
20240712145008,0,999.17,38.48,49.21,9605.92,22
20240712150008,0,999.17,37.53,53.77,9924.5,23.44
20240712151008,0,999.15,36.86,56.97,9901.33,23.08
20240712152008,0,999.18,36.69,58.7,10655.42,27.19
20240712153008,0,999.23,36.82,58.57,11176,29.91
20240712154008,0,999.25,36.64,58.97,9938.33,24.22
20240712155008,0,999.19,36.45,60.27,9349.17,20.8
20240712160008,0,999.26,36.36,60.54,10405.08,25.69
20240712161008,0,999.24,36.92,58.45,11533.08,32.75
20240712162008,0,999.23,36.71,59.16,8506.42,17.01
20240712163008,0,999.26,36.22,61.22,7155,11.08
20240712164008,0,999.29,35.81,62.1,6319.5,8.46
20240712165008,0,999.25,35.57,62.92,5442.75,6.39
20240713070008,0,1001.27,30.56,100,3357.25,2.4
20240713071008,0,1001.37,30.73,100,3472.42,2.64
20240713072008,0,1001.4,30.76,99.83,2080.5,0.7
20240713073008,0,1001.53,30.64,99.96,1827.17,0.59
20240713074008,0,1001.6,30.72,99.76,2970,1.93
20240713075008,0,1001.6,31.12,97.05,5407.25,6.56
20240713080008,0,1001.61,31.43,93.16,6233.75,8.59
20240713081008,0,1001.7,31.52,92.09,5373.34,5.96
20240713082008,0,1001.69,31.43,92.84,4144.75,3.58
20240713083008,0,1001.7,31.6,92.6,6533.25,10.36
20240713084008,0,1001.67,32.57,88.07,11802.17,35.52
20240713085008,0,1001.76,33.23,83.47,8590.08,19.69
20240713090008,0,1001.73,33.08,83.96,6065.17,9.99
20240713091008,0,1001.71,33.1,83.18,5341.33,7.88
20240713092008,0,1001.67,33.13,83,5134.25,7.19
20240713093008,0,1001.58,33.48,81.46,5101.08,7.15
20240713094008,0,1001.53,33.91,79.49,5086.08,6.94
20240713095008,0,1001.56,34.1,76.7,5043.17,6.55
20240713100008,0,1001.54,34.27,75.81,6249.35,10.05
20240713101008,0,1001.52,34.72,71.55,6894.5,11.5
20240713102008,0,1001.5,34.89,69.16,6463,9.39
20240713103008,0,1001.42,34.7,70.33,7151.92,13.43
20240713104008,0,1001.43,35.66,70.3,10496.67,27.31
20240713105008,0,1001.39,35.62,70.25,8010.42,15.75
20240713110008,0,1001.33,35.4,71.02,8056.75,15.79
20240713111008,0,1001.27,35.28,72.28,8729.42,17.93
20240713112008,0,1001.32,35.14,72.41,8889.92,17.4
20240713113008,0,1001.36,34.88,72.67,7474,11.48
20240713114008,0,1001.35,34.61,73.89,6812.08,9.25
20240713115008,0,1001.36,34.65,74.74,7163.67,9.7
20240713120008,0,1001.37,34.85,73.55,6923.58,9.53
20240713121008,0,1001.32,35.36,71.8,6929.42,416.92
20240713122008,0,1001.25,37.18,64.17,7097.25,1443.26
20240713123008,0,1001.25,40.01,52.33,64289.27,1452.09
20240713124008,0,1001.28,42.16,45.28,84997.94,1463.38
20240713125008,0,1001.26,43.28,41.15,84032.12,1442.01
20240713130008,0,1001.3,42.88,41.15,84608.02,1456.08
20240713131008,0,1001.22,43.8,39.08,83965.27,1446.42
20240713132008,0,1001.17,44.97,37.33,82175.23,1414.83
20240713133008,0,1001.01,43.45,39.15,61671.63,942.23
20240713134008,0,1000.94,41.11,44.66,28416.77,243.7
20240713135008,0,1000.99,40.39,47.32,50616.3,719.39
20240713140008,0,1001.09,39.17,49.72,32747.8,279.32
20240713141008,0,1001.03,37.62,56.17,30199.99,321.14
20240713142008,0,1001.04,40.08,49.77,54876.02,833.72
20240713143008,0,1001.03,40.89,46.64,25743.95,291.39
