Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240206070017,0,1023.58,16.4,97.25,513.5,0.13
20240206071017,0,1023.66,16.47,98.29,801,0.31
20240206072017,0,1023.7,16.65,99.53,1479.08,0.92
20240206073017,0,1023.76,16.93,99.87,1714.42,1.23
20240206074017,0,1023.84,17.07,99.9,1973,1.56
20240206075017,0,1023.91,17.1,99.76,2172.34,1.93
20240206080017,0,1023.91,17.26,99.87,2523.25,2.54
20240206081017,0,1023.84,17.52,99.9,3527.33,4.79
20240206082017,0,1023.85,17.83,99.76,3962.58,5.94
20240206083017,0,1023.86,18.12,99.34,5024.34,9.35
20240206084017,0,1023.83,18.4,98.39,5246.75,10.26
20240206085017,0,1023.79,18.64,97.35,5282.83,10.34
20240206090017,0,1023.77,18.9,96.64,5343.67,10.55
20240206091017,0,1023.82,19.08,95.66,5676.92,11.89
20240206092017,0,1023.86,19.35,94.95,5782.33,12.19
20240206093017,0,1023.91,19.61,94.62,6095.25,13.56
20240206094017,0,1023.93,19.8,93.3,6428.83,15.01
20240206095017,0,1023.88,20.08,92.3,7803.75,22.18
20240206100017,0,1023.81,20.65,91.49,9732.5,34.83
20240206101017,0,1023.71,21.63,89.1,13601.42,66.52
20240206102017,0,1023.58,22.92,84.94,16357,95.68
20240206103017,0,1023.39,23.7,80.02,16876.25,102.57
20240206104017,0,1023.21,24.28,77.1,16090.25,96.32
20240206105017,0,1022.97,24.38,75.31,14423.75,77.37
20240206110017,0,1022.86,24.35,74.63,13937.25,72.09
20240206111017,0,1022.72,24.22,74.59,13260.42,64.41
20240206112017,0,1022.58,24.3,73.83,15255,83.6
20240206113017,0,1022.41,24.62,73.27,15661,86.96
20240206114017,0,1022.31,25.33,72.48,23094.33,185.61
20240206115017,0,1022.11,26.71,68.97,19900.67,134.96
20240206120017,0,1021.93,26.85,67.73,21006.58,151.76
20240206121017,0,1021.71,27.71,65.62,23000.42,181.49
20240206122017,0,1021.53,27.68,64.01,21557.67,160.52
20240206123017,0,1021.25,28.28,63.85,26016.42,232.2
20240206124017,0,1021.06,28.25,61.03,18703.42,124.49
20240206125017,0,1020.91,27.12,62.38,17278.92,107.51
20240206130017,0,1020.67,26.51,63.18,16054.75,95.79
20240206131017,0,1020.47,25.57,64.78,12655.5,59.79
20240206132017,0,1020.31,24.96,66.63,13106.83,64.04
20240206133017,0,1020.16,24.64,67.78,11966.92,54.19
20240206134017,0,1019.94,24.4,68.97,11165,51.98
20240206135017,0,1019.82,24.2,69.04,8672.92,30.94
20240206140017,0,1019.73,23.56,70.24,8031.5,25.76
20240206141017,0,1019.57,23.02,71.04,7368.33,21.08
20240206142017,0,1019.52,22.75,72.37,6831.83,18.08
20240206143017,0,1019.47,22.3,72.99,4782,8.66
20240206144017,0,1019.42,21.84,74.71,4907.42,9.2
20240206145017,0,1019.41,21.62,75.89,5338,10.65
20240206150017,0,1019.38,21.6,76.48,4861.33,8.74
20240206151017,0,1019.31,21.48,76.84,4261.08,6.74
20240206152017,0,1019.34,21.18,77.33,3476.17,4.54
20240206153017,0,1019.39,20.79,78.25,1960.83,1.52
20240206154017,0,1019.46,19.99,81.06,1973.33,1.56
20240206155017,0,1019.55,19.16,84.85,1359.42,0.75
20240206160017,0,1019.58,18.55,88.78,1951.67,1.12
20240206161017,0,1019.73,18.38,91.24,1802.67,1
20240206162017,0,1019.8,18.3,92.71,2047.83,1.23
20240206163017,0,1019.88,18.27,93.24,1446.83,0.67
20240206164017,0,1020.02,18.17,93.2,593.58,0.13
20240206165017,0,1020.1,18.06,93.95,530.42,0.11
20240207070017,0,1018.32,17,99.9,1414.34,0.79
20240207071017,0,1018.4,17.34,99.9,1865.17,1.36
20240207072017,0,1018.47,17.68,99.9,2964.5,3.47
20240207073017,0,1018.49,17.95,99.9,4031.25,6.38
20240207074017,0,1018.51,18.27,99.9,5004.42,9.36
20240207075017,0,1018.6,18.67,99.9,6766.92,18.37
20240207080017,0,1018.53,19.25,99.9,7360.33,19.83
20240207081017,0,1018.53,19.51,99.9,8324.25,26.35
20240207082017,0,1018.55,20.18,99.54,8608.33,28.37
20240207083017,0,1018.61,20.62,98.45,10156,38.82
20240207084017,0,1018.62,21.37,96.85,11451.91,49
20240207085017,0,1018.61,22.41,95.28,15977.83,94.5
