Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240622070006,0.15,1001.93,47.18,26.39,6755.33,14.12
20240622071006,0.45,1001.97,47.05,26.33,7167.33,21.24
20240622072006,0.42,1002.02,47.72,25.62,11228.58,32.51
20240622073006,0.37,1002.05,48.67,24.26,27289.58,48.32
20240622074006,0.12,1002.07,48.91,23.94,31780.66,73.17
20240622075006,0.23,1002.13,49.83,22.71,36382.08,116.92
20240622080006,0.4,1002.13,49.61,22.6,40282.43,182.08
20240622081006,0.5,1002.08,50.31,21.93,44401.86,262.22
20240622082006,0.58,1002.04,50.24,21.65,48779.04,342.07
20240622083006,0.22,1002.12,50.68,20.59,51819.89,397.1
20240622084006,1.11,1002.04,49.8,20.69,54215.85,423.66
20240622085006,0.62,1002,48.91,22.03,61993.98,548.59
20240622090006,0.23,1001.93,50.45,20.66,65776.04,613.69
20240622091006,0.3,1001.87,51.21,19.89,75445.57,787.24
20240622092006,0.26,1001.98,52.54,18.45,76247.16,783.86
20240622093006,0.31,1001.78,52.7,18.03,83837.7,933.02
20240622094006,0.27,1001.71,52.81,17.95,87055,984.3
20240622095006,0.37,1001.79,53.28,17.64,98282.95,1165.42
20240622100006,0.4,1001.8,53.7,17.3,99459.9,1201.08
20240622101006,0.58,1001.74,53.83,17.33,102050.45,1302.37
20240622102006,0.19,1001.74,54.97,16.56,103403.5,1414.6
20240622103006,0.7,1001.76,54.95,15.78,98814.47,1429.55
20240622104006,0.47,1001.79,53.73,17.36,84093.75,1210.48
20240622105006,1.13,1001.65,51.53,21.04,63636.96,903.07
20240622110006,0.98,1001.55,49.38,23.92,90290.99,1535.03
20240622111006,0.72,1001.52,50.42,22.64,81904.44,1447.96
20240622112006,1.22,1001.42,50.49,22.73,76229.91,1474.37
20240622113006,1.38,1001.35,49.05,24.85,73010.27,1637.75
20240622114006,0.68,1001.16,50.43,23.05,67059.91,1675.48
20240622115006,1.27,1001.03,50.5,23,61781.95,1705.72
20240622120006,1.37,1000.83,50.18,23.28,58324.76,1743.36
20240622121006,1.22,1000.75,50.72,22.86,56884.03,1741.62
20240622122006,1.08,1000.69,50.49,23.19,55195.32,1681.89
20240622123006,1.37,1000.7,50.05,23.88,53187.86,1615.23
20240622124006,1.15,1000.5,49.7,24.38,50329.75,1494.75
20240622125006,1.49,1000.33,49.45,24.71,50569.99,1519.36
20240622130006,0.92,1000.14,50.3,23.91,54758.5,1636.17
20240622131006,1.78,1000.09,50.12,24.04,55972.47,1629.27
20240622132006,1.08,1000.06,50.47,23.76,57112.95,1600.32
20240622133006,1.54,999.95,48.49,26.34,37378.07,648.34
20240622134006,1.81,999.92,46.24,30.03,39254.95,734.43
20240622135006,1.45,999.74,45.99,30.66,44064.6,941.82
20240622140006,0.97,999.63,44.79,32.76,26593.91,281.91
20240622141006,0.7,999.57,44.43,33.74,33125.18,559.77
20240622142006,1.04,999.48,45.75,31.46,46530.1,1128.71
20240622143006,1,999.33,46.17,30.72,35224.49,651.33
20240622144006,1.37,999.28,44.68,33.56,24464.63,292.87
20240622145006,1.14,999.23,42.78,37.37,23346.37,268.37
20240622150006,1.12,999.21,41.13,41.36,23266.82,277.18
20240622151006,1.12,999.21,41.28,41.2,24418.17,254.28
20240622152006,0.64,999.13,41.86,40.01,22901.83,274
20240622153006,0.5,999.2,42.03,39.88,25130.75,332.36
20240622154006,0.84,999.05,41.08,41.91,15781.42,116.1
20240622155006,0.5,999.11,40.59,43.3,17067.58,133.47
20240622160006,0.41,999.08,40.16,44.22,12754.83,75.91
20240622161006,0.23,999.18,39.7,45.55,13586.16,81.71
20240622162006,0.23,999.17,40.16,44.58,14879.33,99.62
20240622163006,0.41,999.21,40.6,43.5,15329.17,106.11
20240622164006,0.44,999.27,40.66,43.39,16359.5,115.07
20240622165006,0.27,999.34,40.77,43.12,15043.08,90.08
20240623070006,0.72,1002.79,49.15,25.7,14487.33,62.37
20240623071006,0.33,1002.81,48.82,26.16,13731.58,51.3
20240623072006,0.12,1002.75,49.2,25.67,12918.92,42.88
20240623073006,0.35,1002.72,50.02,23.95,27376.17,54.12
20240623074006,0.16,1002.72,50.5,23.57,31913.67,78.54
20240623075006,0.19,1002.72,51.5,22.09,37428.66,131.62
20240623080006,0.26,1002.77,51.59,21.81,40033.57,190.48
20240623081006,0.09,1002.81,53.17,20.28,45997.48,284.88
20240623082006,0.09,1002.76,54.05,18.95,48752.45,343.34
20240623083006,0.3,1002.7,53.78,18.93,53364.31,422.84
20240623084006,0.15,1002.63,54.05,18.99,58506.61,501.03
20240623085006,0.23,1002.6,54.04,18.49,55486.55,511.1
20240623090006,0.08,1002.45,48.98,24.5,39402.05,348.34
20240623091006,0.1,1002.45,52.75,20.07,79661.94,952.92
20240623092006,0.39,1002.43,52.17,20.43,37202.52,283.2
20240623093006,0.25,1002.35,46.79,27.64,24895.92,121.72
20240623094006,0.28,1002.33,49.29,24.9,77109.39,993.05
20240623095006,0.42,1002.29,51.09,21.97,90772.01,1195.18
20240623100006,0.24,1002.35,54.56,17.65,101854.06,1334.79
20240623101006,0.63,1002.3,55.63,16.32,100308.56,1370.16
20240623102006,0.49,1002.21,55.38,16.86,100147.02,1468.37
20240623103006,0.5,1002.16,55.3,16.7,95143.63,1432.06
20240623104006,0.48,1002.05,55.11,17.16,95471.38,1473.59
20240623105006,0.41,1001.95,54.83,17.47,93615.21,1500.34
20240623110006,0.86,1001.85,53.14,18.86,80039.29,1330.66
20240623111006,0.61,1001.8,52.79,19.78,86103.74,1561.61
20240623112006,0.6,1001.71,53.92,18.74,81916.66,1562.71
20240623113006,0.69,1001.65,53.74,18.82,74111.93,1594.62
20240623114006,0.88,1001.51,52.71,19.76,65764.36,1611.82
20240623115006,0.85,1001.29,51.62,21.01,60503.11,1627.39
20240623120006,0.92,1001.35,51.2,21.67,55201.97,1632
20240623121006,1.08,1001.29,50.89,21.88,53162.52,1651.72
20240623122006,1.21,1001.22,50.39,22.52,53120.29,1678.76
20240623123006,1.18,1001.04,51.11,21.76,54094.92,1696.87
20240623124006,1.26,1000.92,50.66,22.13,46324,1262.63
20240623125006,0.59,1000.89,51.95,20.72,55598.54,1686.06
20240623130006,0.79,1000.83,53.8,18.47,54315.93,1601.99
20240623131006,0.65,1000.63,53.5,18.71,55370.7,1602.46
20240623132006,0.38,1000.47,54.05,18.2,55789.19,1593.87
20240623133006,0.44,1000.38,54.3,17.92,55648.32,1578.89
20240623134006,0.9,1000.37,53.7,18.9,55104.4,1551.5
20240623135006,1.31,1000.17,51.43,21.69,54663.99,1569.04
20240623140006,1.02,1000.1,51.65,21.81,55929.89,1580.54
20240623141006,1.18,999.95,50.61,23.13,38219.94,793.92
20240623142006,0.79,999.78,46.67,28.92,23562.17,251.17
20240623143006,0.94,999.74,45.52,31.58,36694.97,723.87
20240623144006,1.13,999.69,48.07,27.64,48180.59,1200.94
20240623145006,1.13,999.68,49.36,25.69,47083.34,1287.37
20240623150006,0.78,999.71,50.34,24.38,46006.46,1149.87
20240623151006,0.84,999.2,49.53,25.18,43254.53,1072.17
20240623152006,1.24,999.35,48.69,26.5,41685.57,1023.14
20240623153006,0.55,999.32,49.58,25.24,40195.63,981.33
20240623154006,0.8,999.47,47.57,27.86,25684.33,285.73
20240623155006,0.55,999.55,47.24,28.82,30448.33,483.99
20240623160006,0.61,999.47,44.49,33.61,15868.83,126.9
20240623161006,0.3,999.47,43.12,36.55,19574.08,167.24
20240623162006,0.56,999.56,42.41,38.27,15049.08,95.94
20240623163006,0.32,999.61,40.18,43.52,9956.25,33.84
20240623164006,0.3,999.8,38.9,47.24,7593.5,19.03
20240623165006,0.19,999.86,37.98,49.95,5420.67,9.24
20240624070006,0.44,1004.35,45.69,31.42,11331.75,26.19
20240624071006,0.62,1004.37,45.94,30.6,11645.33,32.46
20240624072006,0.37,1004.34,47.38,27.66,14601,43.24
20240624073006,0.24,1004.15,48.3,26.02,26965,59.27
